[0.0, 762.0404326902119][160.4000000000012, 298.7305504364908]
[553.534913610422, 0.0][198.0670647179809, 160.4000000000012]
[893.9111338322853, 660.0728187158642][349.62305048840346, 234.73879728376303]
[0.0, 569.8477052972371][160.4000000000012, 196.5027335201849]
[0.0, 578.854359031811][160.4000000000012, 209.00378318423304]
[730.3148682639207, 887.9056877536104][259.75391020110527, 336.6280495569329]
[225.93542651726077, 623.3521049029716][178.95568479721294, 236.91662028254032]
[738.0647064171011, 459.5203257525854][252.93900615898067, 248.7777538166598]
[527.1279557692291, 880.0900124889233][193.90733406361406, 356.8521100546053]
[694.5686652491272, 710.1523274318977][253.81322811945682, 246.21450881419227]
[566.2845213460052, 907.9419716872774][191.23694015219087, 356.70795775657757]
[559.2203721091496, 0.0][201.42159379499836, 160.4000000000012]
[615.1547143881633, 539.664239848924][222.27239619848882, 194.07926365737418]
[0.0, 621.4975837284524][160.4000000000012, 211.01521636145037]
[603.2109081227036, 0.0][216.7262591279777, 160.4000000000012]
[0.0, 592.4712759762125][160.4000000000012, 223.38615421916617]
[202.75305728410606, 781.0350698454141][182.33165762399355, 292.86743113415]
[238.12391676613078, 507.68437082203525][178.82980264867652, 192.64325136254564]
[491.6168500749402, 0.0][183.2378345147121, 160.4000000000012]
[256.3536233872077, 506.36676051024205][179.70144248286067, 186.9476981634724]
[538.5745503929376, 553.8947986294171][208.81640741594214, 204.82652596656717]
[500.81321492037074, 0.0][187.9968791787646, 160.4000000000012]
[846.9965417465286, 604.8284115238697][331.26252874265236, 220.37249684803183]
[0.0, 584.1500360965252][160.4000000000012, 211.06382634602812]
[0.0, 477.69642054589093][160.4000000000012, 184.61330040191055]
[311.7396204558933, 845.5104388653494][148.2048157239496, 370.65757715009806]
